Month,latitude,longitude,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500
3,-75.5,172.5,95.59,95.321,95.107,94.937,94.842,94.94,94.936,95.032,95.217,95.343,94.875,93.904,92.496,90.754,88.941,87.403,86.227,85.139,84.005,88.706,,,,,,,73.574,75.382,,,,77.475,,,,79.122,78.169,80.972,,,,,,,,,,,,,,,,,,,
3,-74.5,-177.5,91.913,91.914,91.957,91.93,91.938,91.946,91.954,91.955,91.927,91.905,91.885,91.753,91.582,91.357,91.006,90.542,90.154,89.921,89.779,89.843,89.804,87.513,79.913,75.412,75.622,76.939,76.88,73.058,64.639,63.877,75.059,74.353,64.53,64.732,67.931,68.241,67.654,,,,,,,,,,,,,,,,,,,,
3,-74.5,-176.5,,,92.493,92.5,92.506,92.489,92.44,92.369,92.272,92.155,91.593,90.585,89.048,87.026,85.096,82.876,80.721,79.579,79.01,78.488,77.663,71.079,68.881,66.637,64.032,62.185,60.53,59.644,58.996,58.268,57.531,56.777,56.358,56.314,56.237,56.179,56.229,56.538,58.024,59.771,60.189,57.412,57.783,60.194,61.804,62.298,,,,,,,,,,,
3,-74.5,-175.5,92.493,92.496,93.062,93.056,93.056,93.121,93.235,93.398,93.166,92.69,92.156,91.496,91.157,90.012,88.429,86.167,83.676,81.746,80.358,79.663,78.961,76.729,72.658,66.818,61.724,59.081,57.734,56.653,55.955,55.489,55.347,55.31,55.385,55.396,55.336,55.395,55.45,55.527,55.665,55.877,56.12,56.357,56.641,56.92,56.999,57.175,57.507,57.785,57.86,58.012,58.257,58.374,58.422,58.549,58.778,59.031,59.308
3,-74.5,-174.5,92.845,92.847,92.864,92.879,92.892,92.904,92.913,92.923,92.918,92.923,92.857,92.526,92.235,91.248,90.132,88.711,86.82,84.186,80.869,78.166,76.575,75.277,68.008,62.834,59.476,56.984,55.216,54.593,54.467,54.484,54.563,54.665,54.764,54.86,54.956,55.064,55.17,55.365,55.513,55.598,55.688,55.931,56.222,56.529,56.832,57.006,57.16,57.294,57.443,57.616,57.789,57.965,58.123,58.213,58.341,58.494,58.634
3,-74.5,-150.5,97.178,97.168,97.152,97.126,97.099,97.074,96.243,95.064,93.48,91.681,89.938,88.407,87.103,85.975,84.966,84.057,83.359,82.868,82.419,81.962,81.5,79.509,69.865,64.326,60.413,56.627,54.179,53.719,53.704,53.85,54.089,54.36,54.653,54.957,55.236,55.363,55.462,55.64,55.767,55.844,55.945,56.065,56.206,56.35,56.575,56.877,57.134,56.794,56.767,56.975,57.183,57.391,57.562,57.587,57.72,58.247,58.454
3,-74.5,-39.5,,,,,,,,,,,,,,,,,,,,,86.756,85.831,84.899,83.955,83.112,83.448,83.486,83.457,83.433,82.605,80.816,77.775,74.641,,,,,,,,,,,,,,,,,,,,,,,,
3,-74.5,-32.5,95.523,95.516,95.509,95.697,96.04,96.441,95.754,93.891,91.565,89.799,88.603,87.768,87.288,87.18,87.055,86.912,86.798,86.818,86.768,86.735,86.708,86.539,86.263,85.909,,,,,,,,,82.889,80.314,77.868,75.551,73.364,69.342,,,,,,,,,,,,,,,,,,,
3,-74.5,-31.5,94.266,94.211,94.075,93.668,93.06,92.423,91.93,91.428,90.924,90.433,89.959,89.512,89.064,88.612,88.152,87.687,87.219,86.764,86.471,86.296,86.122,86.555,86.206,85.555,,,,,,,,,66.761,67.782,65.947,64.113,64.283,,,,,,,,,,,,,,,,,,,,
3,-74.5,-27.5,104.429,102.335,100.361,98.509,96.778,,,,,,,,,,,,,,,,,,88.664,,,,86.817,86.113,85.433,84.78,84.151,83.522,76.602,,,,,,,,,,,,,,,,,,,,,,,,
3,-74.5,-25.5,101.074,101.368,101.189,99.239,97.843,96.844,95.349,93.445,90.993,89.273,88.027,87.775,87.769,87.762,87.756,87.749,87.742,87.736,87.729,87.727,87.734,87.978,87.697,88.128,,,87.604,87.424,86.113,86.837,86.215,85.564,84.694,84.337,83.433,82.239,,,,,,,,,,,,,,,,,,,,,
